,NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PEANLTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS,MINUTES_PER_ASSIST,MINUTES_PER_GOAL,MINUTES_PER_GAME,MINUTES_PER_POINT,MINUTES_PER_XG,MINUTES_PER_XA,xg_diff,xa_diff
161,bernardo,25,16.0,DF,12,8,824,0,0,0,0,0,0,1.6,0.4,0.0,42.0,22.0,0.0,198.0,155,3510.0,3510.0,68.66666666666667,4.161616161616162,515.0,2060.0,-1.6,-0.4
162,leander dendoncker,25,13.0,MF,33,28,2503,1,0,0,0,4,0,3.1,0.7,1.0,33.0,11.0,0.0,77.0,76,3510.0,2503.0,75.84848484848484,32.506493506493506,807.4193548387096,3575.714285714286,-2.1,-0.7
165,james maddison,23,5.0,MF,31,24,2099,8,5,0,0,4,0,3.8,5.1,0.0,28.0,10.0,0.0,133.0,181,419.8,262.375,67.70967741935483,15.781954887218046,552.3684210526316,411.56862745098044,4.2,-0.09999999999999964
166,joel matip,28,3.0,DF,10,9,691,1,2,0,0,2,0,0.8,0.9,0.0,5.0,3.0,0.0,42.0,170,345.5,691.0,69.1,16.452380952380953,863.75,767.7777777777777,0.19999999999999996,1.1
168,isaac hayden,25,12.0,MF,24,22,1942,0,0,0,0,8,0,0.7,0.3,0.0,33.0,4.0,0.0,40.0,28,3510.0,3510.0,80.91666666666667,48.55,2774.2857142857147,6473.333333333334,-0.7,-0.3
169,fraser forster,32,15.0,GK,8,8,720,0,0,0,0,0,0,0.0,0.0,0.0,11.0,2.0,20.0,30.0,57,3510.0,3510.0,90.0,24.0,35100.0,35100.0,0.0,0.0
170,nick pope,28,17.0,GK,32,32,2880,0,0,0,0,1,0,0.0,0.1,0.0,37.0,11.0,114.0,144.0,130,3510.0,3510.0,90.0,20.0,35100.0,28800.0,0.0,-0.1
171,nathaniel clyne,29,14.0,DF,13,13,1145,0,1,0,0,2,0,0.2,0.2,0.0,22.0,2.0,0.0,28.0,59,1145.0,3510.0,88.07692307692308,40.892857142857146,5725.0,5725.0,-0.2,0.8
172,jonjo shelvey,28,12.0,MF,30,29,2617,1,3,0,0,7,0,2.5,3.0,0.0,46.0,6.0,0.0,74.0,63,872.3333333333334,2617.0,87.23333333333333,35.36486486486486,1046.8,872.3333333333334,-1.5,0.0
173,alexis mac allister,21,16.0,MF,21,13,1115,1,1,0,0,1,0,1.3,1.5,0.0,14.0,5.0,0.0,48.0,93,1115.0,1115.0,53.095238095238095,23.229166666666668,857.6923076923076,743.3333333333334,-0.30000000000000004,-0.5
174,ferran torres,20,1.0,FW,24,15,1306,7,2,0,0,1,0,4.9,2.2,0.0,13.0,7.0,0.0,95.0,26,653.0,186.57142857142858,54.416666666666664,13.74736842105263,266.53061224489795,593.6363636363636,2.0999999999999996,-0.20000000000000018
175,ashley barnes,30,17.0,FW,22,15,1331,3,0,1,0,4,0,4.1,0.8,0.0,19.0,6.0,0.0,52.0,32,3510.0,443.6666666666667,60.5,25.596153846153847,324.63414634146346,1663.75,-1.0999999999999996,-0.8
176,brandon williams,19,2.0,DF,4,2,188,0,0,0,0,0,0,0.2,0.0,0.0,3.0,0.0,0.0,5.0,36,3510.0,3510.0,47.0,37.6,940.0,35100.0,-0.2,0.0
177,pascal struijk,20,9.0,DF,27,22,2075,1,0,0,0,3,0,1.7,0.1,0.0,32.0,7.0,0.0,71.0,35,3510.0,2075.0,76.85185185185185,29.225352112676056,1220.5882352941176,20750.0,-0.7,-0.1
178,harry winks,24,7.0,MF,15,9,861,0,0,0,0,5,0,0.1,0.2,0.0,16.0,1.0,0.0,19.0,33,3510.0,3510.0,57.4,45.31578947368421,8610.0,4305.0,-0.1,-0.2
179,vicente guaita,33,14.0,GK,37,37,3330,0,0,0,0,2,0,0.0,0.0,0.0,64.0,8.0,107.0,124.0,119,3510.0,3510.0,90.0,26.85483870967742,35100.0,35100.0,0.0,0.0
180,james justin,22,5.0,DF,23,23,2070,2,1,0,0,4,0,2.2,2.0,0.0,25.0,9.0,0.0,101.0,29,2070.0,1035.0,90.0,20.495049504950494,940.9090909090909,1035.0,-0.20000000000000018,-1.0
181,karl darlow,29,12.0,GK,25,25,2250,0,0,0,0,3,0,0.0,0.0,0.0,43.0,4.0,88.0,80.0,20,3510.0,3510.0,90.0,28.125,35100.0,35100.0,0.0,0.0
182,divock origi,25,3.0,FW,9,2,186,0,0,0,0,0,0,1.1,0.2,0.0,0.0,1.0,0.0,10.0,22,3510.0,3510.0,20.666666666666668,18.6,169.09090909090907,930.0,-1.1,-0.2
183,liam delap,17,1.0,FW,1,0,40,0,0,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1,3510.0,3510.0,40.0,40.0,35100.0,35100.0,0.0,0.0
184,mateusz klich,30,9.0,MF,35,28,2393,4,5,2,0,6,0,3.0,3.4,0.0,44.0,8.0,0.0,99.0,61,478.6,598.25,68.37142857142857,24.171717171717173,797.6666666666666,703.8235294117648,1.0,1.6
185,curtis jones,19,3.0,MF,24,13,1179,1,2,0,0,2,0,1.7,1.5,0.0,14.0,5.0,0.0,50.0,40,589.5,1179.0,49.125,23.58,693.5294117647059,786.0,-0.7,0.5
186,robert sanchez,22,16.0,GK,27,27,2430,0,0,0,0,2,0,0.0,0.0,0.0,27.0,10.0,66.0,101.0,126,3510.0,3510.0,90.0,24.059405940594058,35100.0,35100.0,0.0,0.0
187,chris wood,28,17.0,FW,33,32,2741,12,3,2,0,0,0,13.0,1.9,0.0,43.0,9.0,0.0,138.0,91,913.6666666666666,228.41666666666666,83.06060606060606,19.86231884057971,210.84615384615384,1442.6315789473686,-1.0,1.1
188,kieran tierney,23,8.0,DF,27,26,2299,1,3,0,0,4,0,0.5,3.5,0.0,27.0,8.0,0.0,96.0,106,766.3333333333334,2299.0,85.14814814814815,23.947916666666668,4598.0,656.8571428571429,0.5,-0.5
189,tom davies,22,10.0,MF,25,17,1423,0,1,0,0,3,0,0.2,0.9,0.0,23.0,5.0,0.0,47.0,12,1423.0,3510.0,56.92,30.27659574468085,7115.0,1581.111111111111,-0.2,0.09999999999999998
190,richarlison,23,10.0,FW,34,33,2861,7,3,1,0,4,1,9.7,3.3,0.0,38.0,11.0,0.0,123.0,125,953.6666666666666,408.7142857142857,84.1470588235294,23.260162601626018,294.94845360824746,866.969696969697,-2.6999999999999993,-0.2999999999999998
191,kepa arrizabalaga,25,4.0,GK,7,6,585,0,0,0,0,1,0,0.0,0.0,0.0,8.0,2.0,16.0,26.0,19,3510.0,3510.0,83.57142857142857,22.5,35100.0,35100.0,0.0,0.0
192,rob holding,24,8.0,DF,30,28,2558,0,1,0,0,2,0,1.0,0.2,1.0,26.0,11.0,0.0,105.0,29,2558.0,3510.0,85.26666666666667,24.36190476190476,2558.0,12790.0,-1.0,0.8
193,morgan gibbs-white,20,13.0,MF,11,4,414,1,0,0,0,1,0,0.8,0.4,0.0,6.0,0.0,0.0,22.0,1,3510.0,414.0,37.63636363636363,18.818181818181817,517.5,1035.0,0.19999999999999996,-0.4
194,bertrand traore,24,11.0,FW,36,29,2317,7,6,0,0,1,0,6.6,4.3,0.0,31.0,11.0,0.0,135.0,13,386.1666666666667,331.0,64.36111111111111,17.16296296296296,351.06060606060606,538.8372093023256,0.40000000000000036,1.7000000000000002
195,tyler roberts,21,9.0,MF,27,14,1340,1,2,0,0,3,0,1.8,2.3,0.0,19.0,4.0,0.0,49.0,34,670.0,1340.0,49.629629629629626,27.346938775510203,744.4444444444445,582.608695652174,-0.8,-0.2999999999999998
196,andi zeqiri,21,16.0,FW,9,0,171,0,0,0,0,0,0,0.7,0.1,0.0,2.0,0.0,0.0,9.0,0,3510.0,3510.0,19.0,19.0,244.2857142857143,1710.0,-0.7,-0.1
197,illan meslier,20,9.0,GK,35,35,3150,0,0,0,0,0,0,0.0,0.0,1.0,52.0,11.0,140.0,154.0,106,3510.0,3510.0,90.0,20.454545454545453,35100.0,35100.0,0.0,0.0
198,michael obafemi,20,15.0,FW,4,0,61,0,0,0,0,0,0,0.0,0.1,0.0,2.0,0.0,0.0,4.0,0,3510.0,3510.0,15.25,15.25,35100.0,610.0,0.0,-0.1
199,wesley fofana,19,5.0,DF,28,27,2262,0,0,0,0,7,0,1.0,0.3,0.0,30.0,7.0,0.0,71.0,17,3510.0,3510.0,80.78571428571429,31.859154929577464,2262.0,7540.0,-1.0,-0.3
200,angelo ogbonna,32,6.0,DF,28,28,2492,3,0,0,0,5,0,1.7,0.8,0.0,34.0,9.0,0.0,100.0,40,3510.0,830.6666666666666,89.0,24.92,1465.8823529411766,3115.0,1.3,-0.8
201,romain saiss,30,13.0,DF,27,27,2407,3,0,0,0,2,0,3.0,0.2,0.0,40.0,8.0,0.0,99.0,109,3510.0,802.3333333333334,89.14814814814815,24.31313131313131,802.3333333333334,12035.0,0.0,-0.2
202,nathan redmond,26,15.0,MF,29,17,1738,2,3,0,0,1,0,3.1,3.2,0.0,39.0,1.0,0.0,67.0,79,579.3333333333334,869.0,59.93103448275862,25.940298507462686,560.6451612903226,543.125,-1.1,-0.20000000000000018
203,scott carson,34,1.0,GK,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,0,3510.0,3510.0,90.0,12.857142857142858,35100.0,35100.0,0.0,0.0
204,ross barkley,26,7.5,FW,26,18,1573,3,1,0,0,0,0,3.1,4.3,0.0,48.0,16.0,0.0,152.0,14,1573.0,524.3333333333334,60.5,10.348684210526315,507.41935483870964,365.81395348837214,-0.10000000000000009,-3.3
205,ollie watkins,24,11.0,FW,37,37,3328,14,5,1,1,4,1,14.5,5.3,0.0,46.0,14.0,0.0,168.0,131,665.6,237.71428571428572,89.94594594594595,19.80952380952381,229.51724137931035,627.9245283018868,-0.5,-0.2999999999999998
206,john ruddy,33,13.0,GK,2,1,91,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,3,3510.0,3510.0,45.5,22.75,35100.0,35100.0,0.0,0.0
207,david de gea,29,2.0,GK,26,26,2295,0,0,0,0,0,0,0.0,0.0,0.0,32.0,9.0,59.0,91.0,132,3510.0,3510.0,88.26923076923077,25.21978021978022,35100.0,35100.0,0.0,0.0
208,morgan sanson,25,11.0,MF,9,3,294,0,0,0,0,3,0,0.0,0.1,0.0,4.0,1.0,0.0,10.0,13,3510.0,3510.0,32.666666666666664,29.4,35100.0,2940.0,0.0,-0.1
209,anwar el ghazi,25,11.0,FW,28,17,1613,10,0,4,0,2,0,8.4,1.8,0.0,22.0,5.0,0.0,111.0,22,3510.0,161.3,57.607142857142854,14.531531531531531,192.02380952380952,896.1111111111111,1.5999999999999996,-1.8
210,nathan tella,21,15.0,FW,18,7,745,1,1,0,0,2,0,1.6,0.8,0.0,11.0,2.0,0.0,36.0,29,745.0,745.0,41.388888888888886,20.694444444444443,465.625,931.25,-0.6000000000000001,0.19999999999999996
211,zack steffen,25,1.0,GK,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7,3510.0,3510.0,90.0,45.0,35100.0,35100.0,0.0,0.0
212,luke thomas,19,5.0,DF,14,12,969,1,0,0,0,2,0,0.3,0.7,0.0,18.0,1.0,0.0,26.0,50,3510.0,969.0,69.21428571428571,37.26923076923077,3230.0,1384.2857142857144,0.7,-0.7
213,jan bednarek,24,15.0,DF,36,36,3100,1,1,0,0,5,1,0.7,0.6,1.0,62.0,9.0,0.0,94.0,94,3100.0,3100.0,86.11111111111111,32.97872340425532,4428.571428571428,5166.666666666667,0.30000000000000004,0.4
214,tariq lamptey,19,16.0,DF,11,11,886,1,1,0,0,4,1,0.7,0.8,0.0,15.0,2.0,0.0,35.0,74,886.0,886.0,80.54545454545455,25.314285714285713,1265.7142857142858,1107.5,0.30000000000000004,0.19999999999999996
215,hector bellerin,25,8.0,DF,25,24,2089,1,2,0,0,8,0,0.8,2.4,0.0,24.0,7.0,0.0,94.0,0,1044.5,2089.0,83.56,22.22340425531915,2611.25,870.4166666666667,0.19999999999999996,-0.3999999999999999
216,kai havertz,21,4.0,MF,27,18,1520,4,3,0,0,2,0,5.5,1.3,0.0,15.0,8.0,0.0,91.0,112,506.6666666666667,380.0,56.2962962962963,16.703296703296704,276.3636363636364,1169.2307692307693,-1.5,1.7
217,alex iwobi,24,10.0,FW,30,17,1542,1,2,0,0,0,0,0.9,1.9,0.0,21.0,5.0,0.0,65.0,78,771.0,1542.0,51.4,23.723076923076924,1713.3333333333333,811.578947368421,0.09999999999999998,0.10000000000000009
218,serge aurier,27,7.0,DF,19,19,1605,2,3,0,0,0,0,1.1,3.4,0.0,22.0,6.0,0.0,80.0,0,535.0,802.5,84.47368421052632,20.0625,1459.090909090909,472.05882352941177,0.8999999999999999,-0.3999999999999999
219,martin kelly,30,14.0,DF,1,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3510.0,3510.0,2.0,2.0,35100.0,35100.0,0.0,0.0
220,conor hourihane,29,11.0,MF,4,3,225,1,1,0,0,0,0,0.7,0.6,0.0,2.0,2.0,0.0,20.0,0,225.0,225.0,56.25,11.25,321.42857142857144,375.0,0.30000000000000004,0.4
221,ryan fredericks,27,6.0,DF,14,6,569,1,1,0,0,2,0,0.3,1.2,0.0,9.0,1.0,0.0,28.0,7,569.0,569.0,40.642857142857146,20.321428571428573,1896.6666666666667,474.1666666666667,0.7,-0.19999999999999996
222,runar alex runarsson,25,8.0,GK,1,0,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,3510.0,3510.0,16.0,16.0,35100.0,35100.0,0.0,0.0
223,cheikhou kouyate,30,14.0,DF,36,35,3121,1,0,0,0,4,0,0.7,1.0,0.0,56.0,8.0,0.0,82.0,77,3510.0,3121.0,86.69444444444444,38.0609756097561,4458.571428571428,3121.0,0.30000000000000004,-1.0
224,edinson cavani,33,2.0,FW,26,13,1375,10,3,0,0,4,0,8.0,2.2,0.0,18.0,4.0,0.0,99.0,34,458.3333333333333,137.5,52.88461538461539,13.88888888888889,171.875,625.0,2.0,0.7999999999999998
225,andros townsend,29,14.0,MF,34,25,2258,1,5,0,0,0,0,2.3,4.0,0.0,37.0,7.0,0.0,94.0,66,451.6,2258.0,66.41176470588235,24.02127659574468,981.7391304347827,564.5,-1.2999999999999998,1.0
226,patrick bamford,26,9.0,FW,38,37,3050,17,7,2,0,3,0,18.2,3.5,0.0,50.0,10.0,0.0,194.0,28,435.7142857142857,179.41176470588235,80.26315789473684,15.721649484536082,167.58241758241758,871.4285714285714,-1.1999999999999993,3.5
227,raheem sterling,25,1.0,FW,31,28,2536,10,7,0,1,4,0,11.0,5.7,0.0,23.0,14.0,0.0,154.0,163,362.2857142857143,253.6,81.80645161290323,16.467532467532468,230.54545454545453,444.91228070175436,-1.0,1.2999999999999998
228,federico fernandez,31,12.0,DF,24,24,2079,0,0,0,0,4,0,0.3,0.6,1.0,38.0,5.0,0.0,53.0,11,3510.0,3510.0,86.625,39.22641509433962,6930.0,3465.0,-0.3,-0.6
229,diego llorente,26,9.0,DF,15,14,1204,1,0,0,0,1,0,0.8,0.5,0.0,12.0,4.0,0.0,50.0,77,3510.0,1204.0,80.26666666666667,24.08,1505.0,2408.0,0.19999999999999996,-0.5
230,emiliano martinez,27,11.0,GK,38,38,3420,0,0,0,0,1,0,0.0,0.1,0.0,46.0,15.0,142.0,186.0,129,3510.0,3510.0,90.0,18.387096774193548,35100.0,34200.0,0.0,-0.1
231,adam webster,25,16.0,DF,29,29,2594,1,0,0,0,4,0,2.0,0.2,0.0,35.0,9.0,0.0,85.0,59,3510.0,2594.0,89.44827586206897,30.51764705882353,1297.0,12970.0,-1.0,-0.2
232,paul dummett,28,12.0,DF,15,14,1255,1,0,0,0,2,0,0.3,0.2,0.0,20.0,3.0,0.0,40.0,7,3510.0,1255.0,83.66666666666667,31.375,4183.333333333334,6275.0,0.7,-0.2
233,xherdan shaqiri,28,3.0,MF,14,5,556,0,2,0,0,2,0,0.5,2.5,0.0,7.0,2.0,0.0,26.0,0,278.0,3510.0,39.714285714285715,21.384615384615383,1112.0,222.4,-0.5,-0.5
234,pierre-emerick aubameyang,31,8.0,FW,29,26,2332,10,3,2,0,2,0,10.2,2.4,1.0,26.0,10.0,0.0,131.0,44,777.3333333333334,233.2,80.41379310344827,17.801526717557252,228.62745098039218,971.6666666666667,-0.1999999999999993,0.6000000000000001
235,shola shoretire,16,2.0,FW,2,0,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,3510.0,3510.0,5.5,5.5,35100.0,35100.0,0.0,0.0
